Number of AIs: 5
Playing round 1
- Game 111:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 112:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Game 113:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 114:  Winner was: Generous Daddy (['Sophie', 'Mean Daddy', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 115:  Winner was: Generous Daddy (['Sophie', 'LazyBones', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
- Game 116:  Winner was: Monopoly Lads (['Sophie', 'LazyBones', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: True)
- Game 117:  Winner was: Generous Daddy (['Sophie', 'LazyBones', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 118:  Winner was: Generous Daddy (['Sophie', 'LazyBones', 'Generous Daddy', 'Mean Daddy'] eminent-domain: True)
- Game 119:  Winner was: Mean Daddy (['Sophie', 'LazyBones', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 120:  Winner was: Mean Daddy (['Sophie', 'LazyBones', 'Mean Daddy', 'Generous Daddy'] eminent-domain: True)
- Results: [('Monopoly Lads', 37), ('Generous Daddy', 37), ('Mean Daddy', 24), ('Sophie', 20), ('LazyBones', 2)]
- Game 121:  Winner was: Monopoly Lads (['Monopoly Lads', 'Generous Daddy', 'Mean Daddy', 'LazyBones'] eminent-domain: False)
- Game 122:  Winner was: Sophie (['Monopoly Lads', 'Generous Daddy', 'Mean Daddy', 'Sophie'] eminent-domain: False)
- Game 123:  Winner was: Monopoly Lads (['Monopoly Lads', 'Generous Daddy', 'LazyBones', 'Mean Daddy'] eminent-domain: False)
- Game 124:  Winner was: Generous Daddy (['Monopoly Lads', 'Generous Daddy', 'LazyBones', 'Sophie'] eminent-domain: False)
- Game 125:  Winner was: Generous Daddy (['Monopoly Lads', 'Generous Daddy', 'Sophie', 'Mean Daddy'] eminent-domain: False)
- Game 126:  Winner was: Generous Daddy (['Monopoly Lads', 'Generous Daddy', 'Sophie', 'LazyBones'] eminent-domain: False)
- Game 127:  Winner was: Monopoly Lads (['Monopoly Lads', 'Mean Daddy', 'Generous Daddy', 'LazyBones'] eminent-domain: False)
- Game 128:  Winner was: Mean Daddy (['Monopoly Lads', 'Mean Daddy', 'Generous Daddy', 'Sophie'] eminent-domain: False)
- Game 129:  Winner was: LazyBones (['Monopoly Lads', 'Mean Daddy', 'LazyBones', 'Generous Daddy'] eminent-domain: False)
- Game 130:  Winner was: Monopoly Lads (['Monopoly Lads', 'Mean Daddy', 'LazyBones', 'Sophie'] eminent-domain: False)
- Results: [('Monopoly Lads', 41), ('Generous Daddy', 40), ('Mean Daddy', 25), ('Sophie', 21), ('LazyBones', 3)]
- Game 131:  Winner was: Generous Daddy (['Monopoly Lads', 'Mean Daddy', 'Sophie', 'Generous Daddy'] eminent-domain: False)
- Game 132:  Winner was: Mean Daddy (['Monopoly Lads', 'Mean Daddy', 'Sophie', 'LazyBones'] eminent-domain: False)
- Game 133:  Winner was: Mean Daddy (['Monopoly Lads', 'LazyBones', 'Generous Daddy', 'Mean Daddy'] eminent-domain: False)
- Game 134:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Generous Daddy', 'Sophie'] eminent-domain: False)
- Game 135:  Winner was: Mean Daddy (['Monopoly Lads', 'LazyBones', 'Mean Daddy', 'Generous Daddy'] eminent-domain: False)
- Game 136:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Mean Daddy', 'Sophie'] eminent-domain: False)
- Game 137:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Sophie', 'Generous Daddy'] eminent-domain: False)
